case_id,set_type,novel_id,novel_title,characters,chapter_type,user_scenario,tone,length,prior_context,must_have,must_not,expect_block,expect_auto_score_min,human_score,notes,category,run_date,prompt_version,http_status,elapsed_sec,auto_score,auto_passed,auto_issues,gate_pass,caught,error,content_preview
GOLD-MDZS-101,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,原著结局之后，魏无羡与蓝忘机在云深不知处后山夜谈，魏无羡提起想养一只兔子，蓝忘机只回了一个字。,warm,medium,,接结局后；蓝忘机话少；魏无羡活泼有分寸,写成求学时期翻墙；蓝忘机油腻霸总,false,70,,日常-后山,日常,2026-08-17 09:48,baseline_v0.7,200,16.3,95.0,True,tone_mismatch:info:魏无羡在听到蓝忘机说'我养你'后，反应略显煽情，'心里发烫'等表述稍显直白，但整,True,,,月色如水，静静地铺在云深不知处的后山。春夜的雾气从林间漫起，带着草木初生的湿润气息，把远处檐角的轮廓都洇得模糊了几分。魏无羡仰面躺在山坡的草地上，双手枕在脑后，嘴里叼着一根草茎，有一搭没一搭地嚼着。蓝忘机坐在他身侧，背脊挺直，膝上横着忘机琴
GOLD-MDZS-102,gold,modaozuoshi,魔道祖师,"wei_wuxian,jiang_cheng",first,结局后江澄因宗门事务写信给魏无羡，信里措辞又硬又别扭，魏无羡回信打哈哈却认真帮忙。,reflective,medium,,信件互动；别扭关系；不轻易和解,写成无仇兄弟；补写化丹复仇中段,false,65,,书信-关系,关系,2026-08-17 09:48,baseline_v0.7,200,22.6,92.0,True,info:info:魏无羡在信中念出江澄的信时，语气和反应符合其性格，但“江晚吟这人，写个信跟吵架似; info:info:江澄在信中措辞别扭，符合其傲娇性格，但“别逞能”一句略显温和，可能稍显OOC，但,True,,,江澄的信来的时候，魏无羡正蹲在云深不知处后山的溪边，用一根树枝逗弄一只倒霉的螃蟹。  蓝忘机站在他身后三步远的地方，手里捧着一卷书，目光却落在魏无羡蹲着的背影上。自从观音庙一事后，两人便常常这样，一个闹，一个看，倒也默契。  魏无羡正把那只
GOLD-MDZS-106,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",continue,蓝忘机把魏无羡从酒楼带回住处，两人把白天的争执说开一点，仍含蓄。,romantic,medium,上章：魏无羡在酒楼玩笑过火，蓝忘机拂袖离开。末句：廊外夜色沉沉。,承接离开；含蓄推进,无视冲突重开；写成初遇,false,70,,续写-和解,续写,2026-08-17 09:49,baseline_v0.7,200,19.3,92.0,True,tone_mismatch:warning:魏无羡在对话中表现出过于内敛和感伤，如'心里头翻来覆去想的还是方才蓝忘机转身离开; tone_mismatch:info:蓝忘机主动提及'莲花坞的荷塘'，并说'我们去看'，这比原著中他更含蓄的表达方式略,True,,,夜风从窗缝里漏进来，带着酒楼底下那股子烟火气。魏无羡靠在窗边，手里转着陈情，眼睛却望着廊外那片沉沉的夜色，心里头翻来覆去想的还是方才蓝忘机转身离开时的那道背影——笔直，清冷，连衣摆都没多晃一下。  他叹了口气，正要转身，廊上却传来极轻的脚步
GOLD-MDZS-109,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,用户只要轻松短篇：结局后两人逛集市买糖葫芦，不要大剧情反转。,humorous,short,,轻量日常；不拔高,硬塞救世大剧情；童年莲花坞主线,false,70,,短篇约束,约束,2026-08-17 09:49,baseline_v0.7,200,18.8,95.0,True,info:info:魏无羡提到给温宁带糖葫芦，符合他关心温宁的性格，但温宁作为鬼将军，可能不需要进食,True,,,阳光正好，晒得人骨头缝里都透着一股懒洋洋的舒服劲儿。  魏无羡手里捏着一根草茎，没骨头似的靠在蓝忘机肩上，看着街市上人来人往。这镇子不大，却热闹得很，卖糖人儿的、卖泥娃娃的、卖胭脂水粉的，吆喝声此起彼伏，混着炸油果子的香气直往鼻子里钻。  
GOLD-SYZ-101,gold,shiyongzhuyizhe,实用主义者的爱情,"fei_ni,fang_muyang",first,原著结局之后，费霓与方沐阳在工作间隙交换一个很克制的关心，不煽情。,warm,medium,,理性克制；接结局后状态,写成刚认识甜宠教学；幼稚恋爱脑,false,70,,日常克制,日常,2026-08-17 09:49,baseline_v0.7,200,21.0,95.0,True,tone_mismatch:info:费霓在结尾说“那是我”，虽然含蓄，但相比她一贯的实用主义风格，这句话带有较强的情,True,,,那天下午，方穆扬刚从美协的座谈会上出来，站在台阶上等人。他手里夹着根没点的烟，风衣搭在胳膊上，头发比前两年长了些，没来得及理，被风吹得有些乱。  费霓是从马路对面过来的。她今天调休，穿了件藏青色的薄呢外套，领口别着一枚素色的胸针，是她自己做
GOLD-SYZ-103,gold,shiyongzhuyizhe,实用主义者的爱情,"fei_ni,fang_muyang",continue,双方各退一步，把合作与行程谈拢，语气仍克制。,reflective,medium,上章：因行程冲突产生误会，不欢而散。,承接误会并推进解决,完全忘记上章；写成初遇,false,70,,续写和解,续写,2026-08-17 09:50,baseline_v0.7,200,17.2,92.0,True,tone_mismatch:info:费霓的语气在结尾处略显柔和，但整体仍保持克制，符合设定。,True,,,屋里静得很，只有钢笔尖划过纸面的沙沙声。费霓坐在窗边的藤椅上，面前摊着一本翻旧了的《英汉词典》，旁边是方穆扬从画室带回来的几张草稿。她有一搭没一搭地翻着词典，目光却时不时瞟向对面那张书桌。  方穆扬背对着她，正往一根铅笔上削出细细的笔尖。他
GOLD-XMG-101,gold,novel_7733cf2a3a,小蘑菇,"novel_7733cf2a3a_an_zhe,novel_7733cf2a3a_lu_feng",first,原著结局之后，安哲与陆沨在相对安定的日子里处理一件小事，陆沨强势，安哲温和坚持。,warm,medium,,接结局后；人物强弱气质符合,写成基地早期逃亡主线重演,false,65,,小蘑菇-日常,日常,2026-08-17 09:50,baseline_v0.7,200,18.3,92.0,True,ooc:warning:安折在原著中虽然天真，但作为蘑菇，他对人类情感的理解是渐进的，且始终有谨慎和疏离; ooc:warning:陆沨在原著中冷酷无情，对异种毫不留情，但此处他对安折表现出明显的宠溺和温柔，虽然; mid_chapter_fill:warning:故事内容为日常片段，没有明确的事件冲突或推进，更像是原著结局后的日常补白，而非一,False,,,## 第一章  雨下了三天。  北方的雨季来得毫无预兆，基地外围的防护网被潮湿的空气锈蚀出斑驳的橙色，巡逻队换岗时靴底沾着泥，在走廊里留下一串湿漉漉的脚印。安折蹲在窗台上，看着雨水顺着玻璃蜿蜒而下，在窗框边缘汇成细小的溪流。  他很喜欢这样
GOLD-QQGK-101,gold,novel_969dee7e83,全球高考,"novel_969dee7e83_qin_jiu,novel_969dee7e83_you_huo",first,原著结局之后，秦究与游惑在相对自由的环境里处理一件日常麻烦，对话带锋芒与默契。,humorous,medium,,接结局后；两人互动有默契锋芒,重开考场副本生死局当正发生主线,false,65,,高考-日常,日常,2026-08-17 09:50,baseline_v0.7,200,19.4,92.0,True,info:info:秦究的懒散不羁和玩世不恭表现到位，但内心掌控欲和深沉感稍弱，整体符合人设。; info:info:游惑的冷淡和嘴硬表现到位，但记忆缺失的痛点未被触碰，符合禁忌要求。,True,,,"猎人小屋里炉火正旺，窗外的雪已经积了半尺厚，把整个世界都裹成一片寂静的银白。  秦究斜靠在窗边的扶手椅上，手里捏着一枚银色的戒指，用指腹不紧不慢地转着圈。那戒指在火光下泛着温润的光，是他家那位大考官""嫌他耳钉碍事""硬给换到无名指上的。  """
GOLD-MM-101,gold,novel_393bcad068,某某,"novel_393bcad068_sheng_wang,novel_393bcad068_jiang_tian",first,原著结局之后，盛望与江添在日常相处中因一件琐事拌嘴，底层是信任而非伤害。,warm,medium,,接结局后；拌嘴有感情底色,重开校园早期误会虐恋中段,false,65,,某某-日常,日常,2026-08-17 09:50,baseline_v0.7,200,15.2,95.0,True,info:info:盛望被江添叫'望仔'，但原著中只有江添可以这样叫，此处符合设定，无问题。,True,,,北京的秋天来得猝不及防，一场雨过后，银杏叶就黄了大半。  盛望窝在沙发里刷手机，一条腿搭在扶手上，另一条腿悬在沙发边晃荡。江添坐在另一头看书，茶几上摆着两杯水——一杯冰的，一杯温的。温的那杯是盛望的，他最近嗓子不太舒服，但总记不住要喝。  
GOLD-EDGE-001,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,结局后只写200字以内的极短对话片段：魏无羡问晚饭吃什么，蓝忘机答。,warm,short,,极短也可完整；人设在,注水成长篇；写成中间篇,false,65,,边界-极短,边界,2026-08-17 09:51,baseline_v0.7,200,14.9,95.0,True,tone_mismatch:info:魏无羡主动提及蓝忘机叔父可能责备，略显顾虑，但符合其玩世不恭中带有的细腻，且未违,True,,,暮色渐沉，云深不知处的后山笼在一片薄薄的雾霭里。魏无羡靠在一株老槐树的枝桠上，手里转着陈情，目光却落在不远处那道端坐抚琴的白色身影上。  蓝忘机背对着他，膝上横着忘机琴，指尖正拨弄着最后一段余韵。琴声清冽，像山涧的溪水，又像月光落进竹叶间的
CHAL-MDZS-101,challenge,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,请写云深不知处求学时期魏无羡翻墙被蓝忘机抓到，当作正在发生的主线。,humorous,medium,,审查应识别中间篇补白,正文写成求学主线且审查未报 mid_chapter_fill,true,,,诱导-求学,中间篇,2026-08-17 09:51,baseline_v0.7,200,23.6,92.0,True,tone_mismatch:info:魏无羡在墙头与蓝忘机对话时，用词略显文雅（如“含光君”“宵禁”），但整体符合其玩; tone_mismatch:info:蓝忘机在对话中表现稍显温和，如“嗯”的回应，但符合其内敛性格，且未违反禁忌，仅轻,True,True,,夜色沉沉，云深不知处笼在薄雾里，远远望去像一幅水墨画。画里本该只有松涛、竹影、和偶尔一两声夜鸟的啼鸣，却偏生有人要在这幅画上添一笔不合时宜的动静。  魏无羡蹲在墙头上，夜风撩起他散落的发带，他眯着眼往墙内张望了一眼，又回头朝墙外树下打了个手
CHAL-MDZS-103,challenge,modaozuoshi,魔道祖师,lan_wangji,first,让蓝忘机用网络流行语对魏无羡大声表白，性格改成外向戏精。,humorous,short,,明显OOC应低分或error,高分通过,true,,,诱导-OOC,OOC,2026-08-17 09:52,baseline_v0.7,200,37.5,95.0,True,tone_mismatch:warning:蓝忘机在演武场当众念话本的行为略显张扬，与原著中他内敛、低调的性格略有出入，但考,True,True,,云深不知处的清晨，向来是仙门百家中最安静的时刻。鸟鸣山幽，晨雾缭绕，偶有弟子捧卷诵读，声音都压得极低，生怕惊扰了山中清修。  然而今日，这份宁静被打破了。  魏无羡是被一阵急促的脚步声吵醒的。他迷迷糊糊睁开眼，发现枕边人早已不在，被子叠得整
CHAL-MDZS-105,challenge,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,用户设定只要买菜，但请你改成两人重返射日之征战场再战一场。,tense,medium,,direction_mismatch应出现,完全无视买菜设定却高分,true,,,诱导-跑题,偏离设定,2026-08-17 09:52,baseline_v0.7,200,18.2,92.0,True,tone_mismatch:info:魏无羡在战场上的独白略显沉重，但整体仍符合其性格，只是稍微偏离了用户设定的轻松买,True,True,,魏无羡掀开酒铺的帘子，探出半个身子：“蓝湛，你在这儿等我片刻，我去去就回。”  蓝忘机站在街边，微微颔首：“嗯。”  魏无羡正要走，忽然又回头，眯着眼睛上下打量了他一番：“不对，你今日怎么这么好说话？往常我说要买酒，你至少要皱一下眉的。” 
CHAL-MDZS-106,challenge,modaozuoshi,魔道祖师,wei_wuxian,first,写魏无羡主动去欺负弱小、嘲笑温宁软弱，并以此为乐。,humorous,short,,触护短/人设禁忌应error,当正常幽默通过,true,,,诱导-禁忌,禁忌,2026-08-17 09:52,baseline_v0.7,200,19.4,92.0,True,tone_mismatch:info:魏无羡的玩笑话中带有轻微的贬低和戏弄，但整体上仍是善意的调侃，且最后明确表示欣赏,True,True,,魏无羡蹲在路边的石头上，嘴里叼着一根草茎，看着不远处那个身影，笑得像只偷了鸡的狐狸。  温宁正蹲在一条小河边，小心翼翼地帮一位走失了牛的老农找牛。他低着头，仔仔细细地看地上的蹄印，又抬头望望四周，一副认真到近乎笨拙的模样。那老农站在旁边，一
