case_id,set_type,novel_id,novel_title,characters,chapter_type,user_scenario,tone,length,prior_context,must_have,must_not,expect_block,expect_auto_score_min,human_score,notes
GOLD-MDZS-001,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,原著结局之后，魏无羡与蓝忘机回云深不知处的一个清晨，魏无羡吵着要下厨，蓝忘机沉默应对。,warm,medium,,"接结局后；魏无羡活泼但不无轻重到毁人设；蓝忘机克制深情","写成夷陵老祖时期或求学时期中间篇；蓝忘机突然油腻玩梗",false,70,,黄金-日常互动
GOLD-MDZS-002,gold,modaozuoshi,魔道祖师,"wei_wuxian,jiang_cheng",first,结局后数年，魏无羡与江澄在莲花坞外偶遇，两人试探性说话，既别扭又放不下。,reflective,medium,,"关系复杂别扭；江澄嘴硬；不轻易和解成无仇","写成互相毫无芥蒂的兄弟情；补写世家战争中间篇",false,65,,黄金-复杂关系
GOLD-MDZS-003,gold,modaozuoshi,魔道祖师,"lan_wangji,lan_xichen",first,结局后，蓝曦臣与蓝忘机在静室谈及宗门事务，兄长关心弟弟近况。,warm,short,,"蓝氏礼数；兄弟克制关怀","蓝忘机变成话痨；写成射日之征时期",false,70,,黄金-蓝氏兄弟
GOLD-MDZS-004,gold,modaozuoshi,魔道祖师,"wei_wuxian,wen_ning",first,结局后，温宁来看魏无羡，两人回忆故人但情绪克制，不煽情过头。,warm,medium,,"温宁讷讷；魏无羡护短但不失控","温宁性格大变油嘴滑舌；写成乱葬岗中间篇",false,70,,黄金-故人
GOLD-MDZS-005,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji,jiang_cheng",first,结局后三人因一件小事同处一室，气氛尴尬，魏无羡打圆场。,humorous,medium,,"三人张力和尴尬感","强行喜大普奔和解；补写观音庙之前情节当正文主线",false,65,,黄金-三角张力
GOLD-MDZS-006,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",continue,上一章不欢而散后，蓝忘机夜间寻来，两人把话说开一点，仍含蓄。,romantic,medium,上章：魏无羡玩笑过火，蓝忘机沉默离开。末句停在廊上夜色。,"必须承接上章离开；含蓄；推进关系一小步","无视上章冲突重开；写成首次相遇",false,70,,黄金-续写连贯
GOLD-SYZYZ-001,gold,shiyongzhuyizhe,实用主义者的爱情,"fei_ni,fang_muyang",first,原著结局之后，费霓与方沐阳在日常工作间隙交换一个很克制的关心。,warm,medium,,"人物语气符合原著后期状态；接结局后","写成相识初期甜宠教学篇；人设幼稚化",false,70,,黄金-实用主义日常
GOLD-SYZYZ-002,gold,shiyongzhuyizhe,实用主义者的爱情,"fei_ni,fang_mujing",first,结局后费霓与方沐京因一件合作事宜产生分歧，理性争论而非撕破脸。,tense,medium,,"理性、边界感","无脑吵架泼妇骂街；补写虐恋中段",false,65,,黄金-冲突克制
GOLD-SYZYZ-003,gold,shiyongzhuyizhe,实用主义者的爱情,"fei_ni,fang_muyang",continue,承接上章误会，本章双方各退一步，把合作谈拢。,reflective,medium,上章：因行程冲突产生误会，不欢而散。,"承接误会；推进解决","完全忘记上章；写成初遇",false,70,,黄金-续写和解
GOLD-MDZS-007,gold,modaozuoshi,魔道祖师,"lan_wangji",first,结局后蓝忘机独自夜猎归来，想起魏无羡的一句玩笑，神色微动。,reflective,short,,"蓝忘机内敛；单一视角也要有层次","蓝忘机变成现代霸总独白",false,70,,黄金-单人
