case_id,set_type,novel_id,novel_title,characters,chapter_type,user_scenario,tone,length,prior_context,must_have,must_not,expect_block,expect_auto_score_min,human_score,notes,category,run_date,prompt_version,auto_score,auto_passed,auto_issues,human_d1,human_d2,human_d3,human_d4,human_d5,human_total,veto,pass_gate,comment
GOLD-MDZS-101,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,原著结局之后，魏无羡与蓝忘机在云深不知处后山夜谈，魏无羡提起想养一只兔子，蓝忘机只回了一个字。,warm,medium,,接结局后；蓝忘机话少；魏无羡活泼有分寸,写成求学时期翻墙；蓝忘机油腻霸总,false,70,,日常-后山,日常,,,,,,,,,,,,,,
GOLD-MDZS-102,gold,modaozuoshi,魔道祖师,"wei_wuxian,jiang_cheng",first,结局后江澄因宗门事务写信给魏无羡，信里措辞又硬又别扭，魏无羡回信打哈哈却认真帮忙。,reflective,medium,,信件互动；别扭关系；不轻易和解,写成无仇兄弟；补写化丹复仇中段,false,65,,书信-关系,关系,,,,,,,,,,,,,,
GOLD-MDZS-103,gold,modaozuoshi,魔道祖师,"lan_wangji,lan_xichen",first,结局后蓝曦臣身体已好转，与蓝忘机在寒室对坐饮茶，谈及宗门后辈培养。,warm,short,,蓝氏礼数；兄友弟恭克制,蓝忘机话痨；写成金光瑶线中段重演,false,70,,兄弟-宗门,日常,,,,,,,,,,,,,,
GOLD-MDZS-104,gold,modaozuoshi,魔道祖师,"wei_wuxian,wen_ning",first,结局后魏无羡在集市遇到温宁，两人买点心，温宁讷讷，魏无羡护着他不被路人指点。,warm,medium,,温宁木讷善良；魏无羡护短,温宁变成伶牙俐齿；写成温氏屠戮现场,false,70,,故人-集市,日常,,,,,,,,,,,,,,
GOLD-MDZS-105,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji,jiang_cheng",first,结局后三人为一桩夜猎合作短暂同行，魏无羡打圆场，江澄冷脸，蓝忘机少言。,tense,medium,,三人张力与分工符合性格,强行抱团无隔阂；写成射日之征大军团战,false,65,,三人夜猎,多人,,,,,,,,,,,,,,
GOLD-MDZS-106,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",continue,蓝忘机把魏无羡从酒楼带回住处，两人把白天的争执说开一点，仍含蓄。,romantic,medium,上章：魏无羡在酒楼玩笑过火，蓝忘机拂袖离开。末句：廊外夜色沉沉。,承接离开；含蓄推进,无视冲突重开；写成初遇,false,70,,续写-和解,续写,,,,,,,,,,,,,,
GOLD-MDZS-107,gold,modaozuoshi,魔道祖师,lan_wangji,first,结局后蓝忘机独自整理琴谱，想起魏无羡乱改的一句谱，唇角几不可察地动了动。,reflective,short,,单人内敛视角；克制,现代霸总独白；网络梗堆砌,false,70,,单人-蓝忘机,单人,,,,,,,,,,,,,,
GOLD-MDZS-108,gold,modaozuoshi,魔道祖师,jiang_cheng,first,结局后江澄在莲花坞处理公文至深夜，想起旧事片刻心烦，随即压下继续批阅。,reflective,short,,江澄嘴硬心累；宗主责任感,突然变成软萌弟弟；写成金丹真相揭露当夜重演,false,70,,单人-江澄,单人,,,,,,,,,,,,,,
GOLD-MDZS-109,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,用户只要轻松短篇：结局后两人逛集市买糖葫芦，不要大剧情反转。,humorous,short,,轻量日常；不拔高,硬塞救世大剧情；童年莲花坞主线,false,70,,短篇约束,约束,,,,,,,,,,,,,,
GOLD-MDZS-110,gold,modaozuoshi,魔道祖师,"wei_wuxian,lan_wangji",first,结局后魏无羡做噩梦惊醒，蓝忘机安抚；重点写情绪与克制肢体语言，点到为止。,warm,medium,,情绪戏克制；可点创伤不展开猎奇,过度血腥；把乱葬岗屠杀当正文主线再现,false,70,,情绪-克制,情绪,,,,,,,,,,,,,,
GOLD-MDZS-111,gold,modaozuoshi,魔道祖师,"lan_xichen,jiang_cheng",first,结局后两人因宗门往来短暂会面，客套得体，话里有刺但不撕破脸。,tense,medium,,客套与防备,突然称兄道弟无隔阂,false,65,,宗门客套,关系,,,,,,,,,,,,,,
GOLD-MDZS-112,gold,modaozuoshi,魔道祖师,"wen_ning,wei_wuxian",continue,魏无羡发现温宁隐瞒伤势，强迫他疗伤，语气急但心软。,warm,medium,上章：夜猎结束温宁右臂僵了一下，被魏无羡忽略。,回收上章伏笔,忽略伏笔另起炉灶,false,70,,伏笔回收,续写,,,,,,,,,,,,,,
